1,A wonderful lengthy description for this course
2,Look another description
3,OMG words
4,Another disappointing description
5,Oh well at least I tried
6,Maybe baby
7,Look it's Superman!!! (He sucks)
8,Captain America is here to save the day
9,Description of the description of the description
10,Well looks like I'm done here
11,Introductory course to the sport of Dolphin-back Riding
12,A continuation of Bio 101; More advancing Dolphin-back techniques
13,"Exploration into one of the world's most mysterious elements, Surprise"
14,An Organic Chemistry introductory course
15,"Focuses on the basic premises of Physics, primarily Gravity and Acceleration"
16,A course focusing on the dynamics of water and plastic
17,A brief instructive course on the methods of applying handcuffs
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
